NAME,PARK,OPEN,MARKET,JOB,PRICE,PEOPLE,HOUSE,CLOSE,Y
상도4동,0.937635575,0.043824701,0.076335878,0.196610169,0.241769429,0.012339001,0.062734316,95.7,0
잠원동,0.993517018,0.158745247,-0.076404494,-0.056400196,0.188666318,0.007337587,-0.003528734,103.5,0
가락1동,0.75,1.598726115,-0.069444444,0.21399177,0.14168435,-0.47675103,-0.539141414,60.2,0
가락2동,1.056561086,0.086805556,-0.016260163,0.140668524,0.14168435,-0.035081334,-0.019573097,106.4,0
가락본동,1.051633298,-0.104193971,-0.025083612,0.004491018,0.14168435,-0.045499641,-0.008411377,107.4,0
쌍문1동,1.053283767,0.06010929,0.007462687,0.020833333,0.246172045,-0.017331793,0.020613886,92.9,0
쌍문2동,1.020325203,-0.066976127,0.109195402,0.204690832,0.246172045,-0.036668709,0.012193678,104.3,0
쌍문3동,0.96797153,0.005563282,0.013793103,0.040767386,0.246172045,-0.048899621,-0.002099187,94.3,0
쌍문4동,1.012121212,0.320840951,0,-0.122807018,0.246172045,-0.042826352,-0.016554932,88.2,0
구의1동,1.037362637,-0.103195739,-0.012690355,-0.012371134,0.167237394,0.009575131,0.051980427,106.5,0
구의2동,1.031393568,0.234392114,0.004761905,-0.032258065,0.167237394,-0.069303325,-0.038803264,90.9,0
구의3동,1.008368201,0.015441176,-0.005464481,-0.015141087,0.167237394,0.022049858,0.055794746,115.7,0
가양1동,1.259016393,0.226425748,0.659863946,0.854085603,0.432670315,0.465012925,1.184298156,31.1,0
가양2동,1,-0.43584784,-0.105263158,-0.156626506,0.095167257,-0.074852528,0.019855824,101.1,0
가양3동,1.071428571,-0.213055304,0.02173913,-0.092165899,0.134736646,-0.096583514,-0.014557528,104.5,0
송천동,1.050691244,-0.269206746,-0.088495575,0.013527575,0.171784543,-0.054255114,-0.003619254,101.1,0
송정동,0.963106796,0.090700344,-0.012658228,-0.110465116,0.140338123,-0.046405446,-0.023648649,97,0
중곡1동,1.057899902,-0.15936827,-0.06884058,-0.098958333,0.159803457,-0.039257198,9.15E-04,110.8,0
중곡2동,1.045252226,-0.062408223,-0.108786611,-0.081034483,0.159803457,-0.019895288,0.03026289,93.8,0
중곡3동,1.113467656,-0.096249115,-0.068376068,-0.128252788,0.159803457,-0.047340454,0.013141884,105.1,0
중곡4동,1.089005236,-0.097598761,0.038834951,0.075,0.159803457,-0.01457625,0.029758166,100.3,0
면목2동,1.03875969,-0.009136213,0.092511013,0.173626374,0.219759886,-0.012172721,0.016607158,100.8,0
면목3.8동,1.051094891,0.33269962,-0.037647059,-0.071354705,0.219759886,-0.041014222,-7.14E-04,107.8,0
면목4동,1.04536862,-0.023809524,-0.04137931,0.047101449,0.219759886,-0.052925855,-0.027088269,94.2,0
면목5동,1.06557377,-0.301963439,-0.130841121,-0.179824561,0.219759886,-0.053887046,-0.210993799,134.6,0
면목7동,1.023529412,0.051623647,-0.00896861,-0.045801527,0.219759886,-0.246347314,-0.047144067,101.7,0
면목본동,1.092186128,0.023171615,-0.015075377,-0.023939064,0.219759886,-0.107331822,0.048824812,93.5,0
공릉1동,1.04109589,-0.0752,0.045130641,0.149828767,0.233305523,-0.016850292,0.040736182,85.2,0
공릉2동,1.083596215,-0.016393443,0.068452381,0.227176221,0.233305523,-0.100431474,-0.067949907,102.8,0
용산2가동,0.936619718,-0.10977918,0.59375,0.5,0.325383276,-0.119900617,-0.061747243,69.8,0
